seqName,errors,warnings,failedGenes
A/West_Virginia/28/2019|6|03/31/2019|USA|NA,,,
A/swine/Indiana/A02256610/2018|6|08/21/2018|USA|NA,,,
A/Bahrain/RVT0145/2018|6|02/10/2018|Bahrain|NA,,,
A/Georgia/33/2018|6|12/24/2018|USA|NA,,,
A/Maine/24/2019|6|04/10/2019|USA|NA,,,
A/Alaska/04/2019|6|01/12/2019|USA|NA,,,
A/Florida/7214/2018|6|02/01/2018|USA|NA,,,
A/Japan/6954/2018|6|01/24/2018|Japan|NA,,,
A/canine/Ontario/NCFAD_2018_070_4/2018|6|01/26/2018|Canada|NA,,,
A/Italy/8763/2019|6|03/08/2019|Italy|NA,,,
A/South_Carolina/8660/2019|6|02/05/2019|USA|NA,,,
A/Germany/7343/2018|6|03/16/2018|Germany|NA,,,
A/Alabama/22/2019|6|04/04/2019|USA|NA,,,
A/Brisbane/141/2018|6|09/18/2018|Australia|NA,,,
A/New_York/32/2019|6|04/03/2019|USA|NA,,,
A/Missouri/57/2018|6|12/12/2018|USA|NA,,,
A/Massachusetts/42/2019|6|11/22/2019|USA|NA,,,
A/Montana/42/2019|6|09/13/2019|USA|NA,,,
A/Montana/03/2019|6|01/03/2019|USA|NA,,,
A/New_Mexico/14/2018|6|02/23/2018|USA|NA,,,
A/Illinois/20/2019|6|03/08/2019|USA|NA,,,
A/swine/Minnesota/A02157976/2018|6|04/18/2018|USA|NA,,,
A/Maryland/10/2019|6|02/05/2019|USA|NA,,,
A/Mississippi/8276/2019|6|01/16/2019|USA|NA,,,
A/Maryland/8006/2019|6|01/24/2019|USA|NA,,,
A/Oklahoma/8812/2019|6|03/12/2019|USA|NA,,,
A/swine/South_Dakota/A02245350/2019|6|12/02/2019|USA|NA,,,
A/New_Jersey/13/2020|6|02/16/2020|USA|NA,,,
A/Minnesota/09/2020|6|02/09/2020|USA|NA,,,
A/North_Carolina/20/2019|6|03/18/2019|USA|NA,,,
A/California/191/2019|6|11/03/2019|USA|NA,,,
A/Townsville/31/2018|6|08/20/2018|Australia|NA,,,
A/Georgia/23/2018|6|03/19/2018|USA|NA,,,
A/Virginia/9140/2019|6|03/13/2019|USA|NA,,,
A/swine/Iowa/A02257201/2018|6|09/04/2018|USA|NA,,,
A/Maine/43/2018|6|12/19/2018|USA|NA,,,
A/canine/Ontario/NCFAD_2018_070_15/2018|6|03/14/2018|Canada|NA,,,
A/swine/North_Carolina/A02142700/2018|6|02/13/2018|USA|NA,,,
A/Michigan/414/2018|6|12/10/2018|USA|NA,,,
A/Victoria/741/2018|6|09/13/2018|Australia|NA,,,
A/New_Mexico/05/2019|6|01/22/2019|USA|NA,,,
A/Montana/38/2019|6|07/14/2019|USA|NA,,,
A/Vermont/03/2020|6|01/08/2020|USA|NA,,,
A/Florida/101/2019|6|09/19/2019|USA|NA,,,
A/Alaska/44/2018|6|05/11/2018|USA|NA,,,
A/California/SEA0134/2018|6|01/11/2018|USA|NA,,,
A/swine/Iowa/A02254363/2018|6|07/25/2018|USA|NA,,,
A/swine/Iowa/A02154763/2018|6|03/01/2018|USA|NA,,,
A/Minnesota/48/2019|6|07/13/2019|USA|NA,,,
A/Mississippi/8460/2019|6|01/28/2019|USA|NA,,,
